time,ws,wd_deg,pres,temp
2024-01-01 00:00:00,4.7,75.0,1020.0,-9.3
2024-01-01 01:00:00,4.7,85.0,1020.0,-10.4
2024-01-01 02:00:00,5.6,87.0,1019.8,-11.5
2024-01-01 03:00:00,6.1,85.0,1019.8,-11.5
2024-01-01 04:00:00,7.7,83.0,1019.9,-11.8
2024-01-01 05:00:00,7.4,83.0,1019.9,-11.7
2024-01-01 06:00:00,8.6,85.0,1019.9,-11.7
2024-01-01 07:00:00,9.8,91.0,1020.1,-12.0
2024-01-01 08:00:00,10.3,93.0,1020.2,-11.9
2024-01-01 09:00:00,10.1,95.0,1020.7,-12.4
2024-01-01 10:00:00,9.6,93.0,1021.1,-12.5
2024-01-01 11:00:00,10.1,85.0,1021.0,-12.5
2024-01-01 12:00:00,10.3,82.0,1020.6,-12.6
2024-01-01 13:00:00,10.7,82.0,1020.6,-12.5
2024-01-01 14:00:00,10.0,81.0,1020.8,-12.8
2024-01-01 15:00:00,10.3,82.0,1021.0,-13.0
2024-01-01 16:00:00,10.8,84.0,1021.2,-13.3
2024-01-01 17:00:00,11.3,82.0,1021.5,-14.0
2024-01-01 18:00:00,11.8,86.0,1021.5,-14.1
2024-01-01 19:00:00,12.9,83.0,1021.4,-14.2
2024-01-01 20:00:00,12.2,87.0,1021.6,-14.4
2024-01-01 21:00:00,11.4,94.0,1022.0,-14.4
2024-01-01 22:00:00,11.3,89.0,1022.2,-14.3
2024-01-01 23:00:00,11.9,86.0,1022.2,-14.5
2024-01-02 00:00:00,11.5,84.0,1022.0,-14.3
2024-01-02 01:00:00,11.5,85.0,1022.0,-14.3
2024-01-02 02:00:00,10.9,83.0,1022.0,-14.5
2024-01-02 03:00:00,10.7,82.0,1021.9,-14.7
2024-01-02 04:00:00,11.1,88.0,1022.0,-14.7
2024-01-02 05:00:00,10.7,88.0,1021.9,-14.5
2024-01-02 06:00:00,10.7,87.0,1022.2,-14.5
2024-01-02 07:00:00,10.8,85.0,1022.4,-14.5
2024-01-02 08:00:00,11.1,86.0,1022.6,-14.2
2024-01-02 09:00:00,11.6,83.0,1022.5,-13.9
2024-01-02 10:00:00,12.4,85.0,1022.5,-13.4
2024-01-02 11:00:00,10.9,87.0,1022.4,-13.2
2024-01-02 12:00:00,10.9,85.0,1022.2,-13.3
2024-01-02 13:00:00,,,1022.0,-13.1
2024-01-02 14:00:00,,,1021.9,-13.2
2024-01-02 15:00:00,10.9,87.0,1021.9,-13.2
2024-01-02 16:00:00,10.5,84.0,1022.0,-13.6
2024-01-02 17:00:00,10.0,81.0,1021.9,-14.0
2024-01-02 18:00:00,9.6,83.0,1021.5,-14.3
2024-01-02 19:00:00,8.9,80.0,1021.2,-14.5
2024-01-02 20:00:00,9.4,83.0,1020.8,-14.6
2024-01-02 21:00:00,10.4,88.0,1020.4,-14.5
2024-01-02 22:00:00,10.3,93.0,1020.1,-14.8
2024-01-02 23:00:00,10.6,96.0,1019.7,-14.7
2024-01-03 00:00:00,10.1,98.0,1019.7,-15.1
2024-01-03 01:00:00,10.6,95.0,1019.3,-15.1
2024-01-03 02:00:00,10.7,92.0,1018.9,-15.3
2024-01-03 03:00:00,10.5,89.0,1018.5,-15.7
2024-01-03 04:00:00,11.0,89.0,1018.1,-15.7
2024-01-03 05:00:00,10.7,90.0,1017.8,-15.7
2024-01-03 06:00:00,10.0,89.0,1017.9,-15.9
2024-01-03 07:00:00,9.9,83.0,1017.8,-15.9
2024-01-03 08:00:00,9.8,84.0,1017.7,-15.7
2024-01-03 09:00:00,10.6,86.0,1017.7,-15.7
2024-01-03 10:00:00,10.8,86.0,1017.4,-15.3
2024-01-03 11:00:00,9.9,83.0,1017.1,-15.3
2024-01-03 12:00:00,10.1,79.0,1016.6,-14.8
2024-01-03 13:00:00,9.7,75.0,1016.3,-14.4
2024-01-03 14:00:00,10.6,79.0,1015.9,-15.0
