time,ws,wd_deg,pres,temp
2024-01-01 00:00:00,1.3,66.0,1021.5,-15.2
2024-01-01 01:00:00,1.5,71.0,1021.5,-15.3
2024-01-01 02:00:00,1.7,93.0,1021.5,-15.4
2024-01-01 03:00:00,1.2,82.0,1021.5,-15.5
2024-01-01 04:00:00,1.3,92.0,1022.1,-15.6
2024-01-01 05:00:00,1.7,73.0,1022.1,-15.7
2024-01-01 06:00:00,4.2,75.0,1022.2,-15.7
2024-01-01 07:00:00,4.5,85.0,1022.3,-15.3
2024-01-01 08:00:00,3.9,91.0,1022.5,-15.6
2024-01-01 09:00:00,4.3,94.0,1022.9,-15.6
2024-01-01 10:00:00,5.4,96.0,1023.4,-15.6
2024-01-01 11:00:00,4.3,96.0,1023.4,-15.4
2024-01-01 12:00:00,4.3,91.0,1023.4,-15.5
2024-01-01 13:00:00,4.2,86.0,1023.2,-16.0
2024-01-01 14:00:00,3.2,82.0,1023.3,-16.8
2024-01-01 15:00:00,2.8,85.0,1023.6,-17.3
2024-01-01 16:00:00,4.6,80.0,1023.8,-17.7
2024-01-01 17:00:00,3.6,80.0,1024.1,-18.3
2024-01-01 18:00:00,3.9,86.0,1024.2,-18.7
2024-01-01 19:00:00,4.4,94.0,1024.4,-18.7
2024-01-01 20:00:00,4.9,92.0,1024.5,-19.1
2024-01-01 21:00:00,4.5,91.0,1024.4,-19.5
2024-01-01 22:00:00,4.6,102.0,1024.6,-19.5
2024-01-01 23:00:00,3.8,100.0,1025.2,-19.7
2024-01-02 00:00:00,2.8,79.0,1025.5,-20.1
2024-01-02 01:00:00,2.5,72.0,1025.4,-20.5
2024-01-02 02:00:00,2.8,80.0,1025.2,-20.6
2024-01-02 03:00:00,2.9,82.0,1025.0,-20.4
2024-01-02 04:00:00,3.9,80.0,1024.7,-20.1
2024-01-02 05:00:00,5.4,80.0,1024.4,-19.7
2024-01-02 06:00:00,4.9,84.0,1024.6,-19.8
2024-01-02 07:00:00,5.3,80.0,1024.8,-19.8
2024-01-02 08:00:00,6.3,79.0,1024.9,-19.6
2024-01-02 09:00:00,4.9,83.0,1025.3,-19.3
2024-01-02 10:00:00,5.3,81.0,1025.5,-18.8
2024-01-02 11:00:00,5.1,80.0,1025.3,-18.1
2024-01-02 12:00:00,4.2,83.0,1025.0,-18.1
2024-01-02 13:00:00,4.6,79.0,1024.8,-17.8
2024-01-02 14:00:00,4.5,75.0,1024.5,-18.4
2024-01-02 15:00:00,5.2,76.0,1024.3,-18.8
2024-01-02 16:00:00,4.6,73.0,1024.2,-18.8
2024-01-02 17:00:00,4.6,75.0,1024.0,-19.1
2024-01-02 18:00:00,3.6,82.0,1023.6,-19.2
2024-01-02 19:00:00,3.4,89.0,1023.3,-19.5
2024-01-02 20:00:00,3.8,92.0,1023.1,-19.7
2024-01-02 21:00:00,5.0,85.0,1022.9,-19.6
2024-01-02 22:00:00,2.3,100.0,1022.8,-19.5
2024-01-02 23:00:00,4.3,72.0,1022.2,-19.9
2024-01-03 00:00:00,4.7,76.0,1021.8,-20.2
2024-01-03 01:00:00,4.0,83.0,1021.8,-20.1
2024-01-03 02:00:00,4.6,91.0,1021.5,-19.9
2024-01-03 03:00:00,6.1,91.0,1020.7,-19.5
2024-01-03 04:00:00,5.8,89.0,1020.4,-19.2
2024-01-03 05:00:00,5.7,89.0,1020.4,-18.9
2024-01-03 06:00:00,5.5,89.0,1020.4,-18.9
2024-01-03 07:00:00,5.2,86.0,1020.2,-18.7
2024-01-03 08:00:00,5.5,88.0,1020.1,-18.5
2024-01-03 09:00:00,4.6,88.0,1020.2,-19.0
2024-01-03 10:00:00,5.0,98.0,1020.0,-18.5
2024-01-03 11:00:00,4.8,99.0,1019.8,-18.0
2024-01-03 12:00:00,5.3,93.0,1019.2,-17.9
2024-01-03 13:00:00,5.3,94.0,1018.9,-18.1
2024-01-03 14:00:00,4.7,95.0,1018.5,-18.6
2024-01-03 15:00:00,4.5,92.0,1018.3,-19.0
2024-01-03 16:00:00,4.2,93.0,1018.2,-19.6
2024-01-03 17:00:00,4.1,99.0,1018.3,-19.9
2024-01-03 18:00:00,4.3,101.0,1018.4,-20.0
2024-01-03 19:00:00,4.2,88.0,1018.4,-20.2
2024-01-03 20:00:00,3.6,92.0,1018.4,-20.3
2024-01-03 21:00:00,3.4,68.0,1018.2,-20.9
2024-01-03 22:00:00,3.3,69.0,1017.9,-21.0
2024-01-03 23:00:00,2.9,71.0,1017.5,-20.9
2024-01-04 00:00:00,2.8,88.0,1017.2,-20.5
2024-01-04 01:00:00,3.9,80.0,1016.7,-20.3
2024-01-04 02:00:00,3.4,81.0,1016.7,-20.4
2024-01-04 03:00:00,3.5,81.0,1016.6,-20.5
2024-01-04 04:00:00,2.9,71.0,1016.6,-20.9
2024-01-04 05:00:00,3.0,69.0,1016.5,-21.0
2024-01-04 06:00:00,2.5,70.0,1016.6,-21.1
2024-01-04 07:00:00,2.4,67.0,1016.5,-20.8
2024-01-04 08:00:00,2.8,73.0,1016.5,-20.9
2024-01-04 09:00:00,2.3,79.0,1016.5,-20.5
2024-01-04 10:00:00,2.5,81.0,1016.5,-19.9
2024-01-04 11:00:00,2.7,76.0,1016.2,-19.4
2024-01-04 12:00:00,3.4,67.0,1015.9,-18.8
2024-01-04 13:00:00,4.1,62.0,1015.8,-18.6
2024-01-04 14:00:00,3.9,63.0,1015.7,-18.9
2024-01-04 15:00:00,4.3,69.0,1015.5,-19.2
2024-01-04 16:00:00,3.8,69.0,1015.4,-19.6
2024-01-04 17:00:00,4.0,69.0,1015.4,-19.7
2024-01-04 18:00:00,3.2,72.0,1015.5,-20.0
2024-01-04 19:00:00,3.0,74.0,1015.6,-20.4
2024-01-04 20:00:00,2.8,71.0,1015.6,-20.6
2024-01-04 21:00:00,2.6,67.0,1015.6,-20.7
2024-01-04 22:00:00,2.9,69.0,1015.5,-20.9
2024-01-04 23:00:00,2.1,67.0,1015.4,-21.0
2024-01-05 00:00:00,2.4,66.0,1015.3,-21.1
2024-01-05 01:00:00,2.8,70.0,1015.2,-21.1
2024-01-05 02:00:00,3.3,91.0,1015.0,-21.4
2024-01-05 03:00:00,3.1,95.0,1014.8,-21.4
2024-01-05 04:00:00,3.0,73.0,1014.6,-21.6
2024-01-05 05:00:00,2.5,71.0,1014.6,-21.7
2024-01-05 06:00:00,3.0,89.0,1014.6,-21.6
2024-01-05 07:00:00,3.6,79.0,1014.6,-21.6
2024-01-05 08:00:00,3.2,59.0,1014.6,-21.6
2024-01-05 09:00:00,4.1,66.0,1014.7,-21.7
2024-01-05 10:00:00,4.1,71.0,1014.7,-21.5
2024-01-05 11:00:00,3.1,85.0,1014.4,-20.5
2024-01-05 12:00:00,2.9,70.0,1014.4,-20.1
2024-01-05 13:00:00,2.7,73.0,1014.2,-20.1
2024-01-05 14:00:00,3.3,58.0,1014.2,-20.0
2024-01-05 15:00:00,3.5,41.0,1014.2,-19.3
2024-01-05 16:00:00,3.9,42.0,1014.1,-19.3
2024-01-05 17:00:00,3.8,43.0,1014.1,-19.3
2024-01-05 18:00:00,3.0,37.0,1014.2,-19.4
2024-01-05 19:00:00,3.7,37.0,1014.3,-19.8
