time,ws,wd_deg,pres,temp
2024-01-01 00:00:00,6.2,79.0,1018.8,-4.9
2024-01-01 01:00:00,6.4,67.0,1018.7,-5.1
2024-01-01 02:00:00,6.3,71.0,1018.5,-5.2
2024-01-01 03:00:00,7.0,74.0,1018.5,-5.7
2024-01-01 04:00:00,7.9,70.0,1018.3,-5.5
2024-01-01 05:00:00,9.3,75.0,1018.1,-5.0
2024-01-01 06:00:00,10.1,77.0,1018.3,-5.3
2024-01-01 07:00:00,9.6,72.0,1018.6,-5.6
2024-01-01 08:00:00,8.7,81.0,1018.9,-5.7
2024-01-01 09:00:00,9.2,72.0,1018.9,-5.7
2024-01-01 10:00:00,10.2,78.0,1018.8,-5.5
2024-01-01 11:00:00,9.9,76.0,1018.8,-5.8
2024-01-01 12:00:00,10.2,73.0,1018.7,-6.3
2024-01-01 13:00:00,10.2,73.0,1018.6,-6.6
2024-01-01 14:00:00,9.8,73.0,1018.9,-7.0
2024-01-01 15:00:00,10.4,72.0,1019.0,-7.1
2024-01-01 16:00:00,10.4,75.0,1019.1,-7.2
2024-01-01 17:00:00,11.0,74.0,1019.3,-7.5
2024-01-01 18:00:00,10.6,75.0,1019.4,-7.2
2024-01-01 19:00:00,11.4,75.0,1019.5,-7.4
2024-01-01 20:00:00,11.7,74.0,1019.4,-7.7
2024-01-01 21:00:00,11.0,74.0,1019.7,-8.0
2024-01-01 22:00:00,10.7,71.0,1020.0,-8.1
2024-01-01 23:00:00,10.3,70.0,1020.0,-8.2
2024-01-02 00:00:00,10.3,68.0,1019.8,-8.2
2024-01-02 01:00:00,10.6,60.0,1019.7,-8.0
2024-01-02 02:00:00,11.8,62.0,1019.6,-7.8
2024-01-02 03:00:00,12.3,65.0,1019.4,-7.4
2024-01-02 04:00:00,12.3,65.0,1019.3,-7.5
2024-01-02 05:00:00,12.6,64.0,1019.3,-7.8
2024-01-02 06:00:00,12.6,69.0,1019.3,-7.8
2024-01-02 07:00:00,12.6,71.0,1019.6,-7.6
2024-01-02 08:00:00,12.5,73.0,1019.7,-7.3
2024-01-02 09:00:00,14.2,97.0,1020.0,-6.8
2024-01-02 10:00:00,15.4,102.0,1020.2,-7.1
2024-01-02 11:00:00,15.0,99.0,1020.1,-7.2
2024-01-02 12:00:00,15.0,100.0,1019.8,-7.3
2024-01-02 13:00:00,14.6,97.0,1019.5,-6.9
2024-01-02 14:00:00,13.0,84.0,1019.3,-7.0
2024-01-02 15:00:00,13.1,69.0,1019.3,-7.7
2024-01-02 16:00:00,13.7,67.0,1019.2,-7.8
2024-01-02 17:00:00,13.9,68.0,1019.1,-7.9
2024-01-02 18:00:00,13.4,66.0,1018.9,-7.9
2024-01-02 19:00:00,13.4,68.0,1018.5,-7.9
2024-01-02 20:00:00,12.4,73.0,1018.3,-7.8
2024-01-02 21:00:00,12.2,81.0,1018.1,-7.6
2024-01-02 22:00:00,13.2,98.0,1017.8,-7.6
2024-01-02 23:00:00,13.1,104.0,1017.6,-7.9
2024-01-03 00:00:00,13.5,100.0,1017.2,-7.8
2024-01-03 01:00:00,14.2,102.0,1016.8,-7.7
2024-01-03 02:00:00,14.2,97.0,1016.3,-7.8
2024-01-03 03:00:00,14.2,98.0,1015.9,-7.8
2024-01-03 04:00:00,15.1,93.0,1015.6,-8.0
2024-01-03 05:00:00,14.8,94.0,1015.4,-8.1
2024-01-03 06:00:00,14.7,101.0,1015.2,-8.1
2024-01-03 07:00:00,14.9,100.0,1015.1,-8.2
2024-01-03 08:00:00,14.8,100.0,1015.1,-8.2
2024-01-03 09:00:00,14.9,98.0,1014.9,-7.9
2024-01-03 10:00:00,13.5,87.0,1014.5,-7.8
2024-01-03 11:00:00,14.0,84.0,1014.1,-7.9
2024-01-03 12:00:00,13.5,86.0,1013.6,-8.3
2024-01-03 13:00:00,14.8,95.0,1013.3,-8.4
2024-01-03 14:00:00,14.3,87.0,1012.8,-8.2
2024-01-03 15:00:00,14.3,71.0,1012.6,-8.6
2024-01-03 16:00:00,14.2,73.0,1012.5,-8.8
2024-01-03 17:00:00,13.8,73.0,1012.5,-8.8
2024-01-03 18:00:00,13.2,69.0,1012.4,-8.8
2024-01-03 19:00:00,13.2,64.0,1012.1,-9.0
2024-01-03 20:00:00,13.0,69.0,1011.9,-8.8
2024-01-03 21:00:00,13.2,67.0,1011.7,-8.9
2024-01-03 22:00:00,13.0,68.0,1011.4,-9.5
2024-01-03 23:00:00,13.9,70.0,1010.9,-9.7
2024-01-04 00:00:00,13.6,69.0,1010.6,-9.6
2024-01-04 01:00:00,13.5,68.0,1010.2,-9.5
2024-01-04 02:00:00,13.8,64.0,1010.0,-9.4
2024-01-04 03:00:00,13.6,63.0,1009.7,-9.5
2024-01-04 04:00:00,13.4,61.0,1009.6,-9.5
2024-01-04 05:00:00,13.1,59.0,1009.5,-9.5
2024-01-04 06:00:00,13.4,60.0,1009.6,-9.4
2024-01-04 07:00:00,13.3,61.0,1009.7,-9.2
2024-01-04 08:00:00,13.5,59.0,1009.6,-9.4
2024-01-04 09:00:00,13.6,60.0,1009.6,-9.5
2024-01-04 10:00:00,13.3,60.0,1009.6,-9.6
2024-01-04 11:00:00,12.8,59.0,1009.3,-9.8
2024-01-04 12:00:00,12.8,57.0,1009.0,-9.7
2024-01-04 13:00:00,12.9,55.0,1009.0,-10.1
2024-01-04 14:00:00,13.2,57.0,1009.0,-10.4
2024-01-04 15:00:00,13.9,58.0,1008.7,-10.1
2024-01-04 16:00:00,13.9,55.0,1008.6,-9.8
2024-01-04 17:00:00,13.4,57.0,1008.6,-9.5
2024-01-04 18:00:00,13.7,54.0,1008.7,-9.3
2024-01-04 19:00:00,13.6,56.0,1008.7,-9.3
2024-01-04 20:00:00,13.1,56.0,1008.6,-9.0
2024-01-04 21:00:00,13.2,55.0,1008.7,-9.0
2024-01-04 22:00:00,13.8,58.0,1008.6,-8.4
2024-01-04 23:00:00,13.5,60.0,1008.6,-8.2
2024-01-05 00:00:00,13.4,61.0,1008.6,-8.3
2024-01-05 01:00:00,12.7,60.0,1008.6,-8.6
2024-01-05 02:00:00,12.7,61.0,1008.6,-8.4
2024-01-05 03:00:00,12.4,61.0,1008.5,-8.4
2024-01-05 04:00:00,12.0,55.0,1008.4,-8.7
2024-01-05 05:00:00,11.8,51.0,1008.4,-8.9
2024-01-05 06:00:00,11.9,49.0,1008.5,-8.7
2024-01-05 07:00:00,11.7,41.0,1008.7,-9.2
2024-01-05 08:00:00,11.2,40.0,1008.9,-9.5
2024-01-05 09:00:00,11.5,41.0,1009.0,-9.6
2024-01-05 10:00:00,11.1,42.0,1009.1,-9.4
2024-01-05 11:00:00,10.8,42.0,1009.0,-9.5
2024-01-05 12:00:00,9.3,31.0,1009.1,-9.9
2024-01-05 13:00:00,8.5,32.0,1009.2,-10.0
2024-01-05 14:00:00,8.1,30.0,1009.4,-10.1
2024-01-05 15:00:00,8.4,19.0,1009.6,-10.4
2024-01-05 16:00:00,8.4,16.0,1010.0,-11.0
2024-01-05 17:00:00,8.3,13.0,1010.2,-11.0
2024-01-05 18:00:00,7.9,7.0,1010.5,-11.3
2024-01-05 19:00:00,7.8,10.0,1010.6,-11.7
2024-01-05 20:00:00,7.9,9.0,1010.9,-11.4
